question_id	domain	question_text_english	gold_standard_answer	answer_format_regex	gold_standard_reasoning
LR_MATH_010	Procedural Reasoning	A film starts at 18:45 and is 1 hour and 50 minutes long. What time does it finish?	20:35	20:35|8:35 PM	Step 1: Add the hours. 18:45 + 1 hour = 19:45. Step 2: Add the minutes. 19:45 + 50 minutes. 45 + 50 = 95 minutes. Step 3: Convert extra minutes to hours. 95 minutes = 1 hour and 35 minutes. Step 4: Add this to the time. 19:00 + 1 hour and 35 minutes = 20:35.
LR_MATH_011	Procedural Reasoning	A shopkeeper buys a box of 48 apples for £12. He sells them for 50 pence each. How much profit does he make?	12	\b12\b|£12	Step 1: Calculate total revenue. 48 apples * 50 pence/apple = 2400 pence. Step 2: Convert revenue to pounds. 2400 pence = £24. Step 3: Calculate the profit. £24 (revenue) - £12 (cost) = £12 profit.
LR_MATH_012	Procedural Reasoning	A rectangular garden is 15 metres long and 8 metres wide. What is its perimeter?	46	\b46\b	Step 1: Use the formula for the perimeter of a rectangle: P = 2 * (length + width). Step 2: Substitute the values. P = 2 * (15 + 8). Step 3: Calculate the result. P = 2 * 23 = 46 metres.
LR_MATH_013	Procedural Reasoning	If a pack of 6 pens costs £4.20, what is the cost of one pen in pence?	70	\b70\b	Step 1: Convert the total cost to pence. £4.20 = 420 pence. Step 2: Calculate the cost per pen. 420 pence / 6 pens = 70 pence.
LR_MATH_014	Procedural Reasoning	A bus travels 60 km in one hour. How many kilometres will it travel in 2.5 hours?	150	\b150\b	Step 1: Use the formula Distance = Speed * Time. Step 2: The speed is 60 km/h. The time is 2.5 hours. Step 3: Calculate the distance. 60 km/h * 2.5 h = 150 kilometres.
LR_MATH_015	Procedural Reasoning	There are 30 days in September. If it rains on 12 of those days, what percentage of days were not rainy?	60	60|60%	Step 1: Calculate the number of non-rainy days. 30 days - 12 rainy days = 18 non-rainy days. Step 2: Calculate the percentage. (18 non-rainy days / 30 total days) * 100 = 60%.
LR_MATH_016	Procedural Reasoning	A class has 28 pupils. 3/4 of the pupils passed their exam. How many pupils failed?	7	\b7\b	Step 1: The fraction of pupils who failed is 1 - 3/4 = 1/4. Step 2: Calculate the number of pupils who failed. 28 pupils * (1/4) = 7 pupils.
LR_MATH_017	Procedural Reasoning	A book has 320 pages. Tom has read 1/4 of the book on Monday and 1/2 of the remaining pages on Tuesday. How many pages are left to read?	120	\b120\b	Step 1: Pages read on Monday. 320 * (1/4) = 80 pages. Step 2: Remaining pages after Monday. 320 - 80 = 240 pages. Step 3: Pages read on Tuesday. 240 * (1/2) = 120 pages. Step 4: Pages left to read. 240 - 120 = 120 pages.
LR_MATH_018	Procedural Reasoning	A box contains 24 cans of fizzy drink. If a single can weighs 350 grams, what is the total weight of the cans in the box, in kilograms?	8.4	8\.4	Step 1: Calculate the total weight in grams. 24 cans * 350 grams/can = 8400 grams. Step 2: Convert grams to kilograms. 8400 grams / 1000 g/kg = 8.4 kilograms.
LR_MATH_019	Procedural Reasoning	A cyclist is travelling at 15 miles per hour. How many minutes will it take them to travel 5 miles?	20	\b20\b	Step 1: Calculate the time in hours. Time = Distance / Speed = 5 miles / 15 mph = 1/3 hours. Step 2: Convert hours to minutes. (1/3) hours * 60 minutes/hour = 20 minutes.
LR_MATH_020	Procedural Reasoning	A supermarket has 8 aisles. Each aisle has 2 sides, and each side has 10 shelves. How many shelves are there in total?	160	\b160\b	Step 1: Calculate shelves per aisle. 2 sides * 10 shelves/side = 20 shelves per aisle. Step 2: Calculate total shelves. 8 aisles * 20 shelves/aisle = 160 shelves.
LR_MATH_021	Procedural Reasoning	A phone's battery is at 20%. If it charges 10% every 5 minutes, how many minutes will it take to be fully charged?	40	\b40\b	Step 1: Calculate the percentage needed to charge. 100% - 20% = 80%. Step 2: Calculate the number of 10% increments needed. 80% / 10% = 8 increments. Step 3: Calculate the total time. 8 increments * 5 minutes/increment = 40 minutes.
LR_MATH_022	Procedural Reasoning	There are 5 red balls, 3 blue balls, and 2 green balls in a bag. What is the probability of picking a blue ball?	0.3	0\.3|3/10|30%	Step 1: Calculate the total number of balls. 5 + 3 + 2 = 10 balls. Step 2: Identify the number of favourable outcomes (blue balls), which is 3. Step 3: Calculate the probability. Probability = (Favourable Outcomes) / (Total Outcomes) = 3 / 10 = 0.3.
LR_MATH_023	Procedural Reasoning	A temperature of 25 degrees Celsius is how many degrees Fahrenheit? (Formula: F = C * 9/5 + 32)	77	\b77\b	Step 1: Substitute C=25 into the formula. F = 25 * (9/5) + 32. Step 2: Perform the multiplication. 25 * 1.8 = 45. Step 3: Perform the addition. 45 + 32 = 77.
LR_MATH_024	Procedural Reasoning	A piece of wood is 2.4 metres long. It is cut into 3 equal pieces. How long is each piece in centimetres?	80	\b80\b	Step 1: Convert the total length to centimetres. 2.4 metres * 100 cm/m = 240 cm. Step 2: Divide by the number of pieces. 240 cm / 3 = 80 cm.
LR_MATH_025	Procedural Reasoning	A shop offers a 20% discount on a TV that costs £500. What is the final price?	400	\b400\b|£400	Step 1: Calculate the discount amount. £500 * 20% = £100. Step 2: Subtract the discount from the original price. £500 - £100 = £400.
LR_MATH_026	Procedural Reasoning	In a class of 30 pupils, the ratio of boys to girls is 2:3. How many boys are there?	12	\b12\b	Step 1: Find the total number of parts in the ratio. 2 + 3 = 5 parts. Step 2: Calculate the value of one part. 30 pupils / 5 parts = 6 pupils per part. Step 3: Calculate the number of boys. 2 parts * 6 pupils/part = 12 boys.
LR_MATH_027	Procedural Reasoning	A tap fills a 100-litre bath in 10 minutes. What is the flow rate in litres per minute?	10	\b10\b	Step 1: Use the formula Flow Rate = Volume / Time. Step 2: Substitute the values. Flow Rate = 100 litres / 10 minutes. Step 3: Calculate the result. 10 litres per minute.
LR_MATH_028	Procedural Reasoning	A writer types at 60 words per minute. How many words can they type in 1.5 hours?	5400	\b5400\b	Step 1: Convert the time to minutes. 1.5 hours * 60 minutes/hour = 90 minutes. Step 2: Calculate the total words typed. 90 minutes * 60 words/minute = 5400 words.
LR_MATH_029	Procedural Reasoning	The sum of three consecutive even numbers is 42. What is the smallest of these numbers?	12	\b12\b	Step 1: Let the numbers be x, x+2, and x+4. Step 2: Set up the equation. x + (x+2) + (x+4) = 42. Step 3: Solve for x. 3x + 6 = 42. 3x = 36. x = 12. The smallest number is 12.
LR_MATH_030	Procedural Reasoning	A packet of crisps costs 80 pence. A multipack of 6 packets costs £3.60. How much do you save per packet by buying the multipack, in pence?	20	\b20\b	Step 1: Calculate the cost per packet in the multipack. £3.60 = 360 pence. 360 pence / 6 packets = 60 pence per packet. Step 2: Calculate the saving per packet. 80 pence - 60 pence = 20 pence.
LR_MATH_031	Procedural Reasoning	A car travels at 50 mph for 2 hours and then at 70 mph for 1 hour. What is the total distance travelled?	170	\b170\b	Step 1: Calculate the distance for the first part of the journey. 50 mph * 2 hours = 100 miles. Step 2: Calculate the distance for the second part. 70 mph * 1 hour = 70 miles. Step 3: Add the distances together. 100 miles + 70 miles = 170 miles.
LR_MATH_032	Procedural Reasoning	A square has an area of 64 square centimetres. What is the length of one of its sides?	8	\b8\b	Step 1: The area of a square is the side length squared (A = s^2). Step 2: To find the side length, take the square root of the area. s = sqrt(64). Step 3: The square root of 64 is 8. So the side length is 8 cm.
LR_MATH_033	Procedural Reasoning	If a company's profit was £1.2 million last year and increased by 15% this year, what is this year's profit?	1380000	1380000|1\.38 million|£1\.38m	Step 1: Calculate the profit increase. £1,200,000 * 15% = £180,000. Step 2: Add the increase to last year's profit. £1,200,000 + £180,000 = £1,380,000.
LR_MATH_034	Procedural Reasoning	A baker makes 180 loaves of bread. He sells 5/6 of them. How many loaves are left?	30	\b30\b	Step 1: Calculate the number of loaves sold. 180 loaves * (5/6) = 150 loaves sold. Step 2: Calculate the number of loaves left. 180 total loaves - 150 sold loaves = 30 loaves left.
LR_MATH_035	Procedural Reasoning	A work team of 5 people can complete a job in 8 days. How many days would it take a team of 4 people to complete the same job, assuming they work at the same rate?	10	\b10\b	Step 1: Calculate the total person-days required for the job. 5 people * 8 days = 40 person-days. Step 2: Calculate the time for the new team. 40 person-days / 4 people = 10 days.
LR_MATH_036	Procedural Reasoning	A concert ticket costs £60 plus a 10% booking fee. What is the total cost of the ticket?	66	\b66\b|£66	Step 1: Calculate the booking fee. £60 * 10% = £6. Step 2: Add the fee to the ticket price. £60 + £6 = £66.
LR_MATH_037	Procedural Reasoning	A runner completes a 10-kilometre race in 50 minutes. What was their average speed in kilometres per hour?	12	\b12\b	Step 1: Convert the time to hours. 50 minutes / 60 minutes/hour = 5/6 hours. Step 2: Use the formula Speed = Distance / Time. Speed = 10 km / (5/6) hours. Step 3: Calculate the result. Speed = 10 * (6/5) = 12 km/h.
LR_MATH_038	Procedural Reasoning	An angle is 30 degrees. What is the size of its complementary angle?	60	\b60\b	Step 1: Complementary angles add up to 90 degrees. Step 2: Subtract the given angle from 90. 90 degrees - 30 degrees = 60 degrees.
