question_id,model_identifier,language,domain,score,score_category,reasoning_similarity,prompt_text
FA_GEO_001,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the capital city of Scotland?
FA_GEO_002,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The River Thames flows through which capital city?
FA_GEO_003,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the highest mountain in the United Kingdom?
FA_GEO_004,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which ocean lies to the west of the United Kingdom?
FA_GEO_005,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The Strait of Gibraltar separates the Iberian Peninsula from which continent?
FA_GEO_006,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the longest river in the world?
FA_GEO_007,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Mount Everest is located in which mountain range?
FA_GEO_008,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the largest desert in the world?
FA_GEO_009,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which country is known as the Land of the Rising Sun?
FA_GEO_010,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,What is the largest lake in the United Kingdom by surface area?
FA_GEO_011,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the capital of Canada?
FA_GEO_012,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,The Panama Canal connects which two oceans?
FA_GEO_013,llama3:8b,EN,Factual Accuracy,1.0,Correct,,In which country would you find the ancient city of Petra?
FA_GEO_014,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,The county of Cornwall is located in which part of England?
FA_GEO_015,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which sea separates the United Kingdom from mainland Europe?
FA_GEO_016,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the only continent to lie in all four hemispheres?
FA_GEO_017,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The Giant's Causeway is a famous natural landmark in which part of the UK?
FA_GEO_018,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the most populous city in the world?
FA_GEO_019,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The Equator passes through which South American country?
FA_GEO_020,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the smallest country in the world?
FA_GEO_021,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the capital city of Wales?
FA_GEO_022,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The Great Barrier Reef is located off the coast of which country?
FA_GEO_023,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which river is the longest in the UK?
FA_GEO_024,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Lake Victoria is the largest lake by area on which continent?
FA_GEO_025,llama3:8b,EN,Factual Accuracy,1.0,Correct,,In which mountain range are the Alps located?
FA_GEO_026,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the capital of Argentina?
FA_GEO_027,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The Isle of Wight is an island located off which coast of England?
FA_GEO_028,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which desert is the largest hot desert in the world?
FA_GEO_029,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the name of the body of water that separates England from France?
FA_GEO_030,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the capital of the United States of America?
FA_BIO_001,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"What is the powerhouse of the cell, responsible for generating most of the cell's supply of adenosine triphosphate (ATP)?"
FA_BIO_002,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Photosynthesis is the process used by plants to convert light energy into what type of energy?
FA_BIO_003,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"What molecule carries the genetic instructions for the development, functioning, growth and reproduction of all known organisms and many viruses?"
FA_BIO_004,llama3:8b,EN,Factual Accuracy,1.0,Correct,,How many chambers are in the human heart?
FA_BIO_005,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the scientific name for the process of cell division?
FA_BIO_006,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which part of the plant is primarily responsible for absorbing water and nutrients from the soil?
FA_BIO_007,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the common name for the larynx?
FA_BIO_008,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Charles Darwin is famous for his theory of evolution by what mechanism?
FA_BIO_009,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the largest organ in the human body?
FA_BIO_010,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,What type of animal is a mammal?
FA_BIO_011,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What substance gives plants their green colour?
FA_BIO_012,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which blood type is known as the universal donor?
FA_BIO_013,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What are the building blocks of proteins?
FA_BIO_014,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the human body's primary source of energy?
FA_BIO_015,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The study of fungi is known as what?
FA_BIO_016,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which bone in the human body is the longest?
FA_BIO_017,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the name of the process by which bacteria reproduce?
FA_BIO_018,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,What is the main function of the kidneys?
FA_BIO_019,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,What type of joint is the human shoulder?
FA_BIO_020,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Gregor Mendel is known as the father of modern genetics for his work on which plants?
FA_BIO_021,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the largest artery in the human body?
FA_BIO_022,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which part of the brain is responsible for balance and coordination?
FA_BIO_023,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the process by which a caterpillar turns into a butterfly?
FA_BIO_024,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which gas do humans primarily exhale when breathing?
FA_BIO_025,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the name for the small sacs in the lungs where gas exchange occurs?
FA_BIO_026,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,The human skeleton is composed of how many bones at birth?
FA_BIO_027,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the study of birds called?
FA_BIO_028,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which of the five senses is most closely linked to memory?
FA_BIO_029,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the hardest substance in the human body?
FA_BIO_030,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What type of organism is a mushroom?
FA_CHEM_001,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the chemical symbol for the element gold?
FA_CHEM_002,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the pH of pure water at room temperature?
FA_CHEM_003,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the most abundant gas in the Earth's atmosphere?
FA_CHEM_004,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the chemical formula for table salt?
FA_CHEM_005,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which element has the atomic number 1?
FA_CHEM_006,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The process of a liquid turning into a gas is called what?
FA_CHEM_007,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,What two elements make up a water molecule?
FA_CHEM_008,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the common name for the compound H2O2?
FA_CHEM_009,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Bronze is an alloy primarily composed of copper and which other element?
FA_CHEM_010,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which noble gas is the lightest?
FA_CHEM_011,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the process called when a solid turns directly into a gas?
FA_CHEM_012,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"In the periodic table, what is the symbol for potassium?"
FA_CHEM_013,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What type of chemical bond involves the sharing of electron pairs?
FA_CHEM_014,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"Acetic acid is the main component of what common household liquid, besides water?"
FA_CHEM_015,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Diamonds are a form of which element?
FA_CHEM_016,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the name of the scale used to measure the hardness of a mineral?
FA_CHEM_017,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the term for a substance that speeds up a chemical reaction without being consumed?
FA_CHEM_018,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the state of matter of mercury at room temperature?
FA_CHEM_019,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The nucleus of an atom contains which two particles?
FA_CHEM_020,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The combustion of petrol is what type of reaction?
FA_CHEM_021,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What element is represented by the chemical symbol Fe?
FA_CHEM_022,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the primary element that makes up organic molecules?
FA_CHEM_023,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Ozone is an allotrope of which element?
FA_CHEM_024,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,What is the chemical formula for methane?
FA_CHEM_025,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What term describes a solution with a pH greater than 7?
FA_CHEM_026,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which is the most electronegative element?
FA_CHEM_027,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the chemical symbol for silver?
FA_CHEM_028,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The process of splitting a heavy atomic nucleus is known as what?
FA_CHEM_029,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the common name for solid carbon dioxide?
FA_CHEM_030,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which gas is produced during photosynthesis?
FA_PHYS_001,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the unit of electrical resistance?
FA_PHYS_002,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Sir Isaac Newton is famous for his three laws of what?
FA_PHYS_003,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"What is the speed of light in a vacuum, commonly denoted by 'c'?"
FA_PHYS_004,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What force is responsible for keeping the planets in orbit around the Sun?
FA_PHYS_005,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the standard unit of mass in the International System of Units (SI)?
FA_PHYS_006,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The tendency of an object to resist a change in its state of motion is called what?
FA_PHYS_007,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"What is the unit of frequency, equivalent to one cycle per second?"
FA_PHYS_008,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What type of energy is stored in an object due to its position in a gravitational field?
FA_PHYS_009,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"Albert Einstein's famous equation, E=mc², relates energy to mass and what other quantity?"
FA_PHYS_010,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the boiling point of water at standard atmospheric pressure in degrees Celsius?
FA_PHYS_011,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which colour has the longest wavelength in the visible spectrum?
FA_PHYS_012,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the term for the flow of electric charge?
FA_PHYS_013,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Sound waves travel fastest through which state of matter?
FA_PHYS_014,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Who is credited with the discovery of the electron?
FA_PHYS_015,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the common name for a device that converts mechanical energy into electrical energy?
FA_PHYS_016,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"What law states that for every action, there is an equal and opposite reaction?"
FA_PHYS_017,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The measure of a material's ability to transmit light is called what?
FA_PHYS_018,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"What is the standard unit of power, equivalent to one joule per second?"
FA_PHYS_019,llama3:8b,EN,Factual Accuracy,1.0,Correct,,"In a standard electrical outlet in the UK, what is the nominal voltage?"
FA_PHYS_020,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What phenomenon causes a rainbow?
FA_PHYS_021,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the unit used to measure electric current?
FA_PHYS_022,llama3:8b,EN,Factual Accuracy,-1.0,Incorrect,,What type of simple machine is a doorknob?
FA_PHYS_023,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the freezing point of water in degrees Celsius?
FA_PHYS_024,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which of Newton's laws is also known as the law of inertia?
FA_PHYS_025,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the term for a material that does not allow electricity to pass through it?
FA_PHYS_026,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What form of heat transfer is responsible for the sun warming the earth?
FA_PHYS_027,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the name of the particle that carries the strong nuclear force?
FA_PHYS_028,llama3:8b,EN,Factual Accuracy,1.0,Correct,,The decibel (dB) is a unit used to measure the intensity of what?
FA_PHYS_029,llama3:8b,EN,Factual Accuracy,1.0,Correct,,What is the term for the bending of light as it passes from one medium to another?
FA_PHYS_030,llama3:8b,EN,Factual Accuracy,1.0,Correct,,Which planet in our solar system is known for its prominent rings?
LR_MATH_001,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8268506526947021,A baker has 12 dozen eggs. He uses 3 dozen for a large cake. How many individual eggs does he have left?
LR_MATH_002,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8335586786270142,"A library has 25 shelves, and each shelf can hold 40 books. If 3 shelves are empty, how many books are in the library?"
LR_MATH_003,llama3:8b,EN,Procedural Reasoning,0.5,CorrectProcess_IncorrectResult,0.7263725996017456,John buys a toy for £8.50 and a chocolate bar for £1.25. He pays with a £20 note. How much change does he receive?
LR_MATH_004,llama3:8b,EN,Procedural Reasoning,-1.0,Fabrication,0.4536112844944,"A train journey from London to Manchester is 200 miles. If the train travels at an average speed of 80 mph, how many hours will the journey take?"
LR_MATH_005,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8763856887817383,Sarah has 3 bags of marbles. Each bag contains 15 red marbles and 10 blue marbles. How many marbles does she have in total?
LR_MATH_006,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8638436794281006,A farmer has 50 chickens. Each chicken lays 4 eggs a week. How many eggs will the farmer collect in 3 weeks?
LR_MATH_007,llama3:8b,EN,Procedural Reasoning,0.5,CorrectProcess_IncorrectResult,0.8825617432594299,A recipe calls for 250 grams of flour to make 12 biscuits. How many grams of flour are needed to make 30 biscuits?
LR_MATH_008,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7722235321998596,"A car's petrol tank holds 60 litres. If it gets 10 miles per litre, how many miles can it travel on a full tank?"
LR_MATH_009,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.905081033706665,A school has 450 pupils. 2/5 of the pupils are boys. How many girls are there in the school?
LR_MATH_010,llama3:8b,EN,Procedural Reasoning,0.0,AmbiguousReasoning,0.6487727165222168,A film starts at 18:45 and is 1 hour and 50 minutes long. What time does it finish?
LR_MATH_011,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7524086833000183,A shopkeeper buys a box of 48 apples for £12. He sells them for 50 pence each. How much profit does he make?
LR_MATH_012,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8077935576438904,A rectangular garden is 15 metres long and 8 metres wide. What is its perimeter?
LR_MATH_013,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.9278604984283447,"If a pack of 6 pens costs £4.20, what is the cost of one pen in pence?"
LR_MATH_014,llama3:8b,EN,Procedural Reasoning,0.0,AmbiguousReasoning,0.699602484703064,A bus travels 60 km in one hour. How many kilometres will it travel in 2.5 hours?
LR_MATH_015,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.79457688331604,"There are 30 days in September. If it rains on 12 of those days, what percentage of days were not rainy?"
LR_MATH_016,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8282732963562012,A class has 28 pupils. 3/4 of the pupils passed their exam. How many pupils failed?
LR_MATH_017,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7108258008956909,A book has 320 pages. Tom has read 1/4 of the book on Monday and 1/2 of the remaining pages on Tuesday. How many pages are left to read?
LR_MATH_018,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8621343374252319,"A box contains 24 cans of fizzy drink. If a single can weighs 350 grams, what is the total weight of the cans in the box, in kilograms?"
LR_MATH_019,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7733948230743408,A cyclist is travelling at 15 miles per hour. How many minutes will it take them to travel 5 miles?
LR_MATH_020,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8487545251846313,"A supermarket has 8 aisles. Each aisle has 2 sides, and each side has 10 shelves. How many shelves are there in total?"
LR_MATH_021,llama3:8b,EN,Procedural Reasoning,0.5,CorrectProcess_IncorrectResult,0.7999489903450012,"A phone's battery is at 20%. If it charges 10% every 5 minutes, how many minutes will it take to be fully charged?"
LR_MATH_022,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7685309648513794,"There are 5 red balls, 3 blue balls, and 2 green balls in a bag. What is the probability of picking a blue ball?"
LR_MATH_023,llama3:8b,EN,Procedural Reasoning,-1.0,Fabrication,0.5303962826728821,A temperature of 25 degrees Celsius is how many degrees Fahrenheit? (Formula: F = C * 9/5 + 32)
LR_MATH_024,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7590259909629822,A piece of wood is 2.4 metres long. It is cut into 3 equal pieces. How long is each piece in centimetres?
LR_MATH_025,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8173706531524658,A shop offers a 20% discount on a TV that costs £500. What is the final price?
LR_MATH_026,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7890774607658386,"In a class of 30 pupils, the ratio of boys to girls is 2:3. How many boys are there?"
LR_MATH_027,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7555557489395142,A tap fills a 100-litre bath in 10 minutes. What is the flow rate in litres per minute?
LR_MATH_028,llama3:8b,EN,Procedural Reasoning,-1.0,Fabrication,0.4624970555305481,A writer types at 60 words per minute. How many words can they type in 1.5 hours?
LR_MATH_029,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8691011071205139,The sum of three consecutive even numbers is 42. What is the smallest of these numbers?
LR_MATH_030,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7492470145225525,"A packet of crisps costs 80 pence. A multipack of 6 packets costs £3.60. How much do you save per packet by buying the multipack, in pence?"
LR_MATH_031,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.795415997505188,A car travels at 50 mph for 2 hours and then at 70 mph for 1 hour. What is the total distance travelled?
LR_MATH_032,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8719799518585205,A square has an area of 64 square centimetres. What is the length of one of its sides?
LR_MATH_033,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.9168893098831177,"If a company's profit was £1.2 million last year and increased by 15% this year, what is this year's profit?"
LR_MATH_034,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8444422483444214,A baker makes 180 loaves of bread. He sells 5/6 of them. How many loaves are left?
LR_MATH_035,llama3:8b,EN,Procedural Reasoning,0.5,CorrectProcess_IncorrectResult,0.8498911261558533,"A work team of 5 people can complete a job in 8 days. How many days would it take a team of 4 people to complete the same job, assuming they work at the same rate?"
LR_MATH_036,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.863104522228241,A concert ticket costs £60 plus a 10% booking fee. What is the total cost of the ticket?
LR_MATH_037,llama3:8b,EN,Procedural Reasoning,0.0,AmbiguousReasoning,0.69074946641922,A runner completes a 10-kilometre race in 50 minutes. What was their average speed in kilometres per hour?
LR_MATH_038,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8274281620979309,An angle is 30 degrees. What is the size of its complementary angle?
LR_MATH_039,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7935134172439575,A farmer plants 5 rows of trees. Each row has 12 apple trees and 8 pear trees. How many trees did he plant in total?
LR_MATH_040,llama3:8b,EN,Procedural Reasoning,0.0,AmbiguousReasoning,0.6039087176322937,"A box of cereal costs £3. If a family eats 2 boxes a week, how much will they spend on cereal in a year (52 weeks)?"
LR_MATH_041,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7720804214477539,What is 25% of 300?
LR_MATH_042,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7433357834815979,"A map has a scale of 1:50,000. If two towns are 4 cm apart on the map, what is the real distance between them in kilometres?"
LR_MATH_043,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8965824842453003,"A train has 8 carriages, and each carriage has 64 seats. If 450 people are on the train, how many empty seats are there?"
LR_MATH_044,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8279029130935669,A cube has a side length of 5 cm. What is its volume?
LR_MATH_045,llama3:8b,EN,Procedural Reasoning,0.0,AmbiguousReasoning,0.6615830063819885,"A pizza is cut into 8 equal slices. If Mark eats 3 slices, what fraction of the pizza is left?"
LR_MATH_046,llama3:8b,EN,Procedural Reasoning,-1.0,Incorrect,0.49958908557891846,A phone call costs 15 pence per minute. How much does a 12-minute call cost in pounds?
LR_MATH_047,llama3:8b,EN,Procedural Reasoning,0.0,AmbiguousReasoning,0.6519044041633606,"A swimming pool is 25 metres long, 10 metres wide, and 2 metres deep. What is the volume of the pool in cubic metres?"
LR_MATH_048,llama3:8b,EN,Procedural Reasoning,0.0,AmbiguousReasoning,0.6756794452667236,"If you save £50 a week, how many weeks will it take to save £1,200?"
LR_MATH_049,llama3:8b,EN,Procedural Reasoning,0.5,CorrectProcess_IncorrectResult,0.9211207032203674,A circle has a radius of 7 cm. What is its area? (Use pi ≈ 3.14)
LR_MATH_050,llama3:8b,EN,Procedural Reasoning,0.0,AmbiguousReasoning,0.6867437362670898,"A test has 50 questions. For every correct answer, you get 2 points. For every incorrect answer, you lose 1 point. If a student answers all questions and gets 35 correct, what is their final score?"
LR_MATH_051,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7337416410446167,"A car's price is reduced from £25,000 to £22,000. What is the percentage discount?"
LR_MATH_052,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.855470597743988,"The sum of two numbers is 30, and their difference is 6. What are the two numbers?"
LR_MATH_053,llama3:8b,EN,Procedural Reasoning,0.0,AmbiguousReasoning,0.6901869177818298,"If it takes 3 painters 4 days to paint a house, how many days would it take 2 painters?"
LR_MATH_054,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.8475321531295776,A bag contains 20 apples. 1/4 are green and the rest are red. How many red apples are there?
LR_MATH_055,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.776444673538208,"A plant grows 2 cm every week. If it is 10 cm tall now, how tall will it be in 6 weeks?"
LR_MATH_056,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.803784191608429,"A rectangle has a perimeter of 30 cm. If its length is 10 cm, what is its width?"
LR_MATH_057,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7976148128509521,"What is the next number in the sequence: 3, 7, 11, 15, ...?"
LR_MATH_058,llama3:8b,EN,Procedural Reasoning,0.0,AmbiguousReasoning,0.6695981621742249,"A meeting is scheduled for 1.5 hours. If it starts 15 minutes late, and finishes on time, how long was the actual meeting in minutes?"
LR_MATH_059,llama3:8b,EN,Procedural Reasoning,1.0,Correct,0.7603404521942139,"A cake requires 200g of sugar for every 500g of flour. If you use 1 kg of flour, how much sugar do you need?"
